schema,tableName,numberofRows,reservedSize (KB),dataSize (KB),indexSize (KB),unusedSize (KB)
config,Cluster_SqlServer_TopQueries_QueryWaitStats_AlertOverride,0,0,0,0,0
data,Cluster_SqlServer_TopQueries_QueryWaitStats_Keys,79646,50168,14824,26744,8600
data,Cluster_SqlServer_TopQueries_QueryWaitStats_Sightings,399284,330000,18008,32352,279640
data,Cluster_SqlServer_TopQueries_QueryWaitStats_StableSamples,98157,176872,27128,288,149456
data,Cluster_SqlServer_TopQueries_QueryWaitStats_UnstableSamples,532727,311016,53816,528,256672
data,Cluster_SqlServer_TopQueries_Sightings,2769115,1728912,126848,149608,1452456
data,Cluster_SqlServer_TopQueries_StableSamples,191376,220264,34992,344,184928
data,Cluster_SqlServer_TopQueries_UnstableSamples,4380942,1600040,427136,2800,1170104
config,Cluster_SqlServer_Trace_AlertConfiguration,0,0,0,0,0
config,Cluster_SqlServer_Trace_AlertOverride,0,0,0,0,0
data,Cluster_SqlServer_Trace_Instances,0,0,0,0,0
data,Cluster_SqlServer_Trace_Keys,0,0,0,0,0
data,Cluster_SqlServer_Trace_Sightings,0,0,0,0,0
data,Cluster_StableSamples,885,144,64,24,56
settings,Clusters,5,144,8,24,112
versioning,CodeVersionHistory,2,72,8,8,56
settings,CustomAlertDefinitions,0,0,0,0,0
settings,CustomMetricAzureSqlServers,0,0,0,0,0
settings,CustomMetricClusters,0,0,0,0,0
settings,CustomMetricGroups,0,0,0,0,0
settings,CustomMetrics,0,0,0,0,0
settings,CustomMetricSqlServers,0,0,0,0,0
versioning,DataVersionHistory,0,0,0,0,0
settings,EmailSettings,1,72,8,8,56
settings,EmailSettingsEmailAddresses,1,72,8,8,56
state,Flags,0,0,0,0,0
settings,Group,3,144,8,24,112
config,Group_AlertConfiguration,0,0,0,0,0
config,Group_AlertOverride,0,0,0,0,0
data,Group_Keys,0,0,0,0,0
settings,GroupAzureSqlServers,1,144,8,24,112
settings,GroupMachines,4,144,8,24,112
utils,HiLo,1,72,8,8,56
settings,InboxSavedFilter,0,0,0,0,0
settings,KeyValuePairs,9,72,8,8,56
settings,LicenceActivations,0,0,0,0,0
settings,Machines,7,144,8,24,112
settings,ObjectsPendingRemoval,0,72,8,8,56
settings,PurgeSettings,0,0,0,0,0
settings,ReportDefinitions,2,160,24,24,112
versioning,SchemaVersionHistory,26,72,8,8,56
settings,SlackSettings,1,72,8,8,56
settings,SnmpSettings,0,0,0,0,0
settings,SqlServers,12,144,8,24,112
settings,UserAccount,1,144,8,24,112
settings,VMwareHosts,1,144,8,24,112
